"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.20381873568315e-08,6,11,64.6660386245878,"GO:0031838 haptoglobin-hemoglobin complex "," http://amigo.geneontology.org/amigo/term/GO:0031838","ENSG00000188536 ENSG00000196565 ENSG00000206172 ENSG00000206177 ENSG00000223609 ENSG00000244734"
3.30669170211629e-08,6,13,54.7174172977282,"GO:0005833 hemoglobin complex "," http://amigo.geneontology.org/amigo/term/GO:0005833","ENSG00000188536 ENSG00000196565 ENSG00000206172 ENSG00000206177 ENSG00000223609 ENSG00000244734"
5.73785811431367e-05,4,13,36.4782781984855,"GO:0044194 cytolytic granule "," http://amigo.geneontology.org/amigo/term/GO:0044194","ENSG00000115523 ENSG00000100453 ENSG00000105374 ENSG00000100450"
0.00136736019024482,3,11,32.3330193122939,"GO:1905370 serine-type endopeptidase complex "," http://amigo.geneontology.org/amigo/term/GO:1905370","ENSG00000160339 ENSG00000011422 ENSG00000122861"
0.002030739479995,3,13,27.3587086488641,"GO:1905286 serine-type peptidase complex "," http://amigo.geneontology.org/amigo/term/GO:1905286","ENSG00000160339 ENSG00000011422 ENSG00000122861"
3.06304938452877e-05,5,24,24.6988341968912,"GO:0071682 endocytic vesicle lumen "," http://amigo.geneontology.org/amigo/term/GO:0071682","ENSG00000108342 ENSG00000115523 ENSG00000188536 ENSG00000206172 ENSG00000244734"
1.02351160480775e-05,8,82,11.5662833312271,"GO:0035580 specific granule lumen "," http://amigo.geneontology.org/amigo/term/GO:0035580","ENSG00000104918 ENSG00000118113 ENSG00000133048 ENSG00000163661 ENSG00000163739 ENSG00000164821 ENSG00000197561 ENSG00000229314"
9.48915627141392e-08,12,141,10.0897365229853,"GO:0072562 blood microparticle "," http://amigo.geneontology.org/amigo/term/GO:0072562","ENSG00000004939 ENSG00000047457 ENSG00000160339 ENSG00000163631 ENSG00000167772 ENSG00000173110 ENSG00000188536 ENSG00000196565 ENSG00000206172 ENSG00000223609 ENSG00000229314 ENSG00000244734"
0.000500221929011631,7,105,7.90362694300518,"GO:0035578 azurophil granule lumen "," http://amigo.geneontology.org/amigo/term/GO:0035578","ENSG00000185198 ENSG00000196415 ENSG00000100448 ENSG00000104918 ENSG00000145287 ENSG00000172232 ENSG00000197561"
3.70978263206488e-05,11,212,6.1514077622446,"GO:0042581 specific granule "," http://amigo.geneontology.org/amigo/term/GO:0042581","ENSG00000011422 ENSG00000059804 ENSG00000104918 ENSG00000118113 ENSG00000122861 ENSG00000133048 ENSG00000163661 ENSG00000163739 ENSG00000164821 ENSG00000197561 ENSG00000229314"
